id,negotiation_id,legal_entity_id,action
11821,4813,882833,offer
11822,4814,882833,offer
11823,4815,882833,offer
11824,4816,882833,offer
11825,4817,882833,offer
11827,4819,882833,offer
11828,4821,882833,offer
11829,4822,882833,offer
107505,21666,,cancel
11830,4823,882833,offer
26,6,2,add_payment_info
24,6,2,accept
5,3,2,offer
28,6,3,confirm_payment_info
27,6,3,sign
23,6,3,offer
11831,4824,882833,offer
11832,4825,882833,offer
11833,4826,882833,offer
11834,4827,882833,offer
11835,4828,882833,offer
111625,4705,,cancel
11836,4829,882833,offer
11837,4830,882833,offer
11838,4831,882833,offer
11839,4832,882833,offer
9,3,,cancel
111626,4699,,cancel
3,2,4,offer
31,8,882833,offer
6,3,3,accept
32,9,882833,offer
19,5,4,add_payment_info
4,2,3,accept
110557,41219,882833,offer
11840,4833,882833,offer
107506,21671,,cancel
107519,39502,,cancel
11841,4834,882833,offer
11842,4835,882833,offer
11843,4836,882833,offer
111627,4704,,cancel
11844,4838,882833,offer
11845,4839,882833,offer
111628,4720,,cancel
11846,4840,882833,offer
11847,4841,882833,offer
111629,4719,,cancel
11848,4842,882833,offer
11849,4843,882833,offer
111630,4692,,cancel
11850,4844,882833,offer
11851,4845,882833,offer
11852,4846,882833,offer
11853,4847,882833,offer
11854,4848,882833,offer
11855,4849,882833,offer
111631,4709,,cancel
11856,4850,882833,offer
111632,4693,,cancel
5958,3356,2332031,offer
111633,4702,,cancel
11857,4851,882833,offer
111634,4698,,cancel
9775,4574,2010858,add_payment_info
5948,3291,2309608,offer
5775,2388,,cancel
11858,4852,882833,offer
11859,4853,882833,offer
5908,3317,2301880,accept
11860,4854,882833,offer
11861,4855,882833,offer
11862,4856,882833,offer
11863,4857,882833,offer
11864,4858,882833,offer
11865,4859,882833,offer
11866,4860,882833,offer
11867,4861,882833,offer
11868,4862,882833,offer
11869,4863,882833,offer
11870,4864,882833,offer
11871,4865,882833,offer
11872,4866,882833,offer
11873,4867,882833,offer
11874,4868,882833,offer
11875,4869,882833,offer
11876,4870,882833,offer
11877,4871,882833,offer
11878,4872,882833,offer
11879,4873,882833,offer
11880,4874,882833,offer
87,16,,cancel
107507,21660,,cancel
107508,32055,,cancel
111635,4710,,cancel
111636,4690,,cancel
111637,4716,,cancel
69,42,882833,offer
104,63,882833,offer
105,64,882833,offer
106,65,882833,offer
107,66,882833,offer
108,67,882833,offer
109,68,882833,offer
11881,4875,882833,offer
107593,4391,,cancel
11882,4876,882833,offer
11886,4880,882833,offer
11887,4881,882833,offer
11888,4882,882833,offer
11889,4883,882833,offer
107509,32056,,cancel
11890,4884,882833,offer
11891,4885,882833,offer
11892,4886,882833,offer
111638,4714,,cancel
11893,4887,882833,offer
11894,4888,882833,offer
11895,4889,882833,offer
11896,4890,882833,offer
11897,4891,882833,offer
11898,4892,882833,offer
11899,4893,882833,offer
11900,4894,882833,offer
48868,26476,2368148,offer
5788,2574,,cancel
111639,4717,,cancel
111640,4691,,cancel
5909,3317,2301880,sign
111641,4708,,cancel
5857,3280,2233647,decline
111642,4694,,cancel
111643,4695,,cancel
111644,4713,,cancel
110,69,882833,offer
5867,2644,882833,retract
5870,3177,882833,retract
5873,3171,882833,retract
5875,3306,882833,offer
5883,3183,882833,retract
11901,4895,882833,offer
11902,4897,882833,offer
11903,4898,882833,offer
107510,21665,,cancel
11904,4899,882833,offer
11905,4900,882833,offer
11906,4901,882833,offer
11907,4902,882833,offer
11908,4903,882833,offer
11909,4904,882833,offer
48869,26477,2368148,offer
9774,4574,2010858,sign
11910,4905,882833,offer
11911,4906,882833,offer
11912,4907,882833,offer
107514,21678,,cancel
11913,4908,882833,offer
111645,4718,,cancel
11914,4909,882833,offer
11915,4910,882833,offer
11916,4911,882833,offer
111646,4689,,cancel
11917,4912,882833,offer
31344,20677,2065547,accept
11918,4913,882833,offer
111647,4707,,cancel
11919,4914,882833,offer
5797,2577,,cancel
11920,4915,882833,offer
11921,4916,882833,offer
11922,4917,882833,offer
11923,4918,882833,offer
5877,2672,882833,retract
5880,2664,882833,retract
11924,4919,882833,offer
11925,4920,882833,offer
11926,4921,882833,offer
11927,4922,882833,offer
11928,4923,882833,offer
11929,4924,882833,offer
11930,4925,882833,offer
11931,4926,882833,offer
11932,4927,882833,offer
11933,4928,882833,offer
11934,4929,882833,offer
11935,4930,882833,offer
11936,4931,882833,offer
11937,4932,882833,offer
7767,3561,64175,add_payment_info
7766,3561,64175,sign
7765,3561,64175,accept
9121,3819,2339349,retract
7917,4022,2339349,offer
7916,3819,2339349,offer
120901,23151,,cancel
11938,4933,882833,offer
11939,4934,882833,offer
11940,4935,882833,offer
11941,4936,882833,offer
11942,4937,882833,offer
11943,4938,882833,offer
11944,4939,882833,offer
11945,4940,882833,offer
11946,4941,882833,offer
11947,4942,882833,offer
11948,4943,882833,offer
11949,4944,882833,offer
11950,4945,882833,offer
11951,4946,882833,offer
11952,4947,882833,offer
11953,4948,882833,offer
11954,4949,882833,offer
11955,4950,882833,offer
11956,4951,882833,offer
7918,4072,2339348,offer
11957,4952,882833,offer
107511,32058,,cancel
11958,4953,882833,offer
48870,26478,2368148,offer
48871,26479,2368148,offer
111648,4701,,cancel
11959,4954,882833,offer
11960,4955,882833,offer
11961,4956,882833,offer
5803,2578,,cancel
7915,3841,2339348,offer
9998,4394,2343424,accept
9761,3461,2342200,accept
5860,3281,2311144,retract
5840,3281,2311144,offer
5954,3291,2309608,decline
27228,17997,2368148,offer
27229,17998,2368148,offer
27230,17999,2368148,offer
27231,18000,2368148,offer
27232,18001,2368148,offer
11962,4957,882833,offer
11963,4958,882833,offer
11964,4959,882833,offer
7886,4174,882833,offer
11965,4960,882833,offer
11966,4961,882833,offer
11967,4962,882833,offer
11972,4992,882833,offer
11973,4993,882833,offer
11974,4994,882833,offer
